일자,요일,도로명,start,end,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시
20200328,토,도산대로,청담사거리,학동사거리,31,30,27,30,29,27,26,28,29,30,31
20200328,토,도산대로,학동사거리,도산공원,32,30,25,23,23,21,19,18,20,22,20
20200328,토,도산대로,도산공원,강남을지병원,28,25,24,22,23,15,11,16,22,21,22
20200328,토,도산대로,강남을지병원,신사역,31,27,25,24,24,22,19,20,20,19,19
20200328,토,도산대로,신사역,강남을지병원,28,26,23,24,23,21,21,22,22,20,21
20200328,토,도산대로,강남을지병원,도산공원,27,24,22,20,21,20,20,19,18,18,18
20200328,토,도산대로,도산공원,학동사거리,24,26,23,20,18,18,18,16,17,18,16
20200328,토,도산대로,학동사거리,청담사거리,30,27,25,23,22,22,22,20,22,22,20
20200328,토,압구정로,청담사거리,압구정로데오역,27,26,25,23,22,18,21,21,22,23,22
20200328,토,압구정로,압구정로데오역,성수대교남단교차로,27,26,24,24,20,12,13,15,14,16,18
20200328,토,압구정로,성수대교남단교차로,압구정역,27,26,24,19,22,25,15,16,22,21,24
20200328,토,압구정로,압구정역,한남IC,31,30,27,26,23,24,21,17,16,16,17
20200328,토,압구정로,한남IC,압구정역,24,24,17,17,15,12,12,12,12,11,11
20200328,토,압구정로,압구정역,성수대교남단교차로,26,22,19,14,13,12,10,11,10,9,15
20200328,토,압구정로,성수대교남단교차로,압구정로데오역,27,23,22,18,18,17,16,16,15,16,16
20200328,토,압구정로,압구정로데오역,청담사거리,28,25,24,23,22,20,21,21,22,21,21
20200328,토,강남대로,강남역,교보타워사거리,25,21,16,12,12,11,9,7,11,13,16
20200328,토,강남대로,교보타워사거리,논현역,20,22,19,18,19,19,19,17,14,14,16
20200328,토,강남대로,교보타워사거리,강남역,22,23,20,18,19,16,17,19,18,18,19
20200328,토,강남대로,논현역,신사역,23,18,17,17,13,10,12,12,16,14,16
20200328,토,강남대로,논현역,교보타워사거리,26,22,20,20,19,21,20,21,22,21,22
20200328,토,강남대로,신사역,한남IC,39,38,39,36,41,39,38,37,39,38,36
20200328,토,강남대로,신사역,논현역,22,19,15,16,13,12,11,10,9,10,14
20200328,토,강남대로,한남IC,신사역,33,26,22,22,23,23,20,22,21,23,25
20200328,토,논현로,압구정역,강남을지병원,28,26,25,23,21,23,22,21,22,22,23
20200328,토,논현로,강남을지병원,학동역,30,27,24,24,24,21,22,22,21,24,23
20200328,토,논현로,학동역,차병원,28,25,23,22,20,20,18,16,17,16,17
20200328,토,논현로,차병원,역삼역,29,29,30,29,26,26,27,28,28,27,27
20200328,토,논현로,역삼역,차병원,27,24,20,15,16,16,14,15,19,20,19
20200328,토,논현로,차병원,학동역,27,26,24,23,20,21,21,21,22,23,23
20200328,토,논현로,학동역,강남을지병원,28,26,23,23,20,15,15,14,19,18,22
20200328,토,논현로,강남을지병원,압구정역,35,30,28,24,23,24,21,22,26,26,25
20200328,토,언주로,성수대교남단교차로,도산공원,31,28,26,25,24,27,25,25,27,29,29
20200328,토,언주로,도산공원,서울세관,32,29,29,28,23,17,19,22,23,25,28
20200328,토,언주로,서울세관,경복아파트,33,30,27,27,27,27,27,26,26,26,26
20200328,토,언주로,경복아파트,르네상스호텔,34,32,25,25,23,23,19,22,20,21,22
20200328,토,언주로,르네상스호텔,경복아파트,29,29,28,26,27,25,27,25,27,26,29
20200328,토,언주로,경복아파트,서울세관,28,29,29,27,26,26,25,27,26,26,27
20200328,토,언주로,서울세관,도산공원,34,32,31,28,28,26,24,23,26,26,26
20200328,토,언주로,도산공원,성수대교남단교차로,31,27,22,20,18,11,9,19,22,21,23
20200328,토,선릉로,압구정로데오역,학동사거리,26,23,20,17,16,16,14,14,13,17,17
